0.135,0.475,5.845,5.281
0.136,0.482,5.866,5.269
0.137,0.488,5.886,5.256
0.138,0.495,5.905,5.244
0.139,0.501,5.998,5.223
0.140,0.508,6.011,5.215
0.141,0.515,6.024,5.203
0.142,0.521,6.036,5.190
0.143,0.528,6.123,5.170
0.144,0.535,6.131,5.162
0.145,0.541,6.138,5.149
0.146,0.548,6.220,5.129
0.147,0.555,6.223,5.121
0.148,0.562,6.225,5.109
0.149,0.569,6.303,5.088
0.150,0.576,6.302,5.080
0.151,0.582,6.301,5.068
0.152,0.589,6.375,5.047
0.153,0.596,6.371,5.039
0.154,0.603,6.441,5.019
0.155,0.610,6.434,5.011
0.156,0.617,6.501,4.991
0.157,0.624,6.491,4.983
0.158,0.631,6.556,4.962
0.159,0.638,6.543,4.955
0.160,0.645,6.531,4.942
0.161,0.652,6.594,4.922
0.162,0.659,6.654,4.906
0.163,0.666,6.636,4.898
0.164,0.673,6.694,4.878
0.165,0.680,6.674,4.870
0.166,0.688,6.731,4.849
0.167,0.695,6.784,4.834
0.168,0.702,6.760,4.826
0.169,0.709,6.812,4.805
0.170,0.716,6.787,4.797
0.171,0.724,6.838,4.777
0.172,0.731,6.886,4.761
0.173,0.738,6.858,4.754
0.174,0.746,6.905,4.733
0.175,0.753,6.950,4.717
0.176,0.761,6.993,4.702
0.177,0.768,6.959,4.694
0.178,0.775,7.002,4.673
0.179,0.783,7.043,4.658
0.180,0.790,7.006,4.650
0.181,0.797,7.047,4.629
0.182,0.805,7.085,4.614
0.183,0.813,7.122,4.598
0.184,0.820,7.082,4.590
0.185,0.827,7.119,4.570
0.186,0.835,7.154,4.554
0.187,0.842,7.187,4.538
0.188,0.850,7.219,4.523
0.189,0.857,7.174,4.515
0.190,0.865,7.207,4.494
0.191,0.872,7.237,4.479
0.192,0.880,7.267,4.463
0.193,0.888,7.295,4.447
0.194,0.896,7.321,4.431
0.195,0.903,7.347,4.416
0.196,0.911,7.371,4.400
0.197,0.918,7.319,4.392
0.198,0.926,7.345,4.372
0.199,0.934,7.369,4.356
0.200,0.941,7.392,4.340
0.201,0.949,7.414,4.325
0.202,0.957,7.435,4.309
0.203,0.965,7.455,4.293
0.204,0.972,7.474,4.278
0.205,0.980,7.492,4.262
0.206,0.988,7.509,4.246
0.207,0.996,7.526,4.230
0.208,1.004,7.541,4.215
0.209,1.012,7.556,4.199
0.210,1.019,7.496,4.191
0.211,1.026,7.513,4.171
0.212,1.034,7.529,4.155
0.213,1.042,7.544,4.139
0.214,1.049,7.559,4.124
0.215,1.057,7.573,4.108
0.216,1.066,7.661,4.084
0.217,1.074,7.670,4.073
0.218,1.081,7.604,4.066
0.219,1.089,7.616,4.045
0.220,1.097,7.702,4.022
0.221,1.105,7.710,4.011
0.222,1.113,7.642,4.003
0.223,1.121,7.727,3.974
0.224,1.129,7.733,3.963
0.225,1.137,7.738,3.948
0.226,1.145,7.744,3.932
0.227,1.153,7.749,3.916
0.228,1.161,7.754,3.901
0.229,1.169,7.759,3.885
0.230,1.176,7.763,3.869
0.231,1.184,7.768,3.853
0.232,1.192,7.772,3.838
0.233,1.200,7.776,3.822
0.234,1.208,7.780,3.806
0.235,1.216,7.858,3.783
0.236,1.225,7.858,3.772
0.237,1.233,7.857,3.756
0.238,1.241,7.857,3.740
0.239,1.249,7.857,3.725
0.240,1.256,7.857,3.709
0.241,1.264,7.857,3.693
0.242,1.272,7.857,3.678
0.243,1.280,7.857,3.662
0.244,1.288,7.856,3.646
0.245,1.296,7.931,3.623
0.246,1.305,7.927,3.612
0.247,1.313,7.924,3.596
0.248,1.321,7.921,3.580
0.249,1.329,7.917,3.564
0.250,1.337,7.914,3.549
0.251,1.345,7.912,3.533
0.252,1.352,7.909,3.517
0.253,1.361,7.981,3.494
0.254,1.369,7.975,3.483
0.255,1.377,7.969,3.467
0.256,1.385,7.964,3.451
0.257,1.393,7.958,3.436
0.258,1.401,7.954,3.420
0.259,1.409,8.024,3.396
0.260,1.418,8.016,3.385
0.261,1.426,8.008,3.370
0.262,1.434,8.000,3.354
0.263,1.442,7.994,3.338
0.264,1.450,7.987,3.323
0.265,1.458,7.981,3.307
0.266,1.466,8.049,3.283
0.267,1.474,8.040,3.272
0.268,1.482,8.031,3.257
0.269,1.490,8.023,3.241
0.270,1.498,8.015,3.225
0.271,1.507,8.082,3.202
0.272,1.515,8.071,3.191
0.273,1.523,8.061,3.175
0.274,1.531,8.051,3.159
0.275,1.539,8.041,3.143
0.276,1.547,8.033,3.128
0.277,1.556,8.099,3.104
0.278,1.564,8.087,3.093
0.279,1.572,8.076,3.077
0.280,1.580,8.065,3.062
0.281,1.588,8.055,3.046
0.282,1.596,8.046,3.030
0.283,1.604,8.111,3.007
0.284,1.612,8.099,2.996
0.285,1.621,8.088,2.980
0.286,1.629,8.076,2.964
0.287,1.637,8.066,2.949
0.288,1.645,8.131,2.925
0.289,1.653,8.117,2.914
0.290,1.661,8.105,2.898
0.291,1.669,8.093,2.883
0.292,1.677,8.082,2.867
0.293,1.685,8.071,2.851
0.294,1.694,8.135,2.828
0.295,1.702,8.122,2.817
0.296,1.710,8.109,2.801
0.297,1.718,8.097,2.785
0.298,1.726,8.085,2.770
0.299,1.734,8.074,2.754
0.300,1.742,8.064,2.738
0.301,1.750,8.129,2.715
0.302,1.759,8.116,2.704
0.303,1.767,8.103,2.688
0.304,1.775,8.091,2.672
0.305,1.783,8.080,2.656
0.306,1.791,8.069,2.641
0.307,1.799,8.134,2.617
0.308,1.807,8.120,2.606
0.309,1.815,8.108,2.591
0.310,1.823,8.096,2.575
0.311,1.831,8.084,2.559
0.312,1.839,8.073,2.543
0.313,1.848,8.138,2.520
0.314,1.856,8.124,2.509
0.315,1.864,8.111,2.493
0.316,1.872,8.099,2.477
0.317,1.880,8.087,2.462
0.318,1.888,8.076,2.446
0.319,1.896,8.140,2.422
0.320,1.905,8.127,2.411
0.321,1.913,8.114,2.396
0.322,1.921,8.101,2.380
0.323,1.929,8.090,2.364
0.324,1.937,8.078,2.349
0.325,1.945,8.068,2.333
0.326,1.952,8.058,2.317
0.327,1.960,8.048,2.301
0.328,1.969,8.113,2.278
0.329,1.977,8.101,2.267
0.330,1.985,8.089,2.251
0.331,1.993,8.078,2.236
0.332,2.001,8.067,2.220
0.333,2.009,8.057,2.204
0.334,2.017,8.048,2.188
0.335,2.025,8.038,2.173
0.336,2.033,8.104,2.149
0.337,2.041,8.092,2.138
0.338,2.049,8.081,2.122
0.339,2.057,8.070,2.107
0.340,2.065,8.060,2.091
0.341,2.073,8.050,2.075
0.342,2.081,8.041,2.060
0.343,2.089,8.032,2.044
0.344,2.097,8.023,2.028
0.345,2.105,8.015,2.012
0.346,2.113,8.008,1.997
0.347,2.121,8.075,1.973
0.348,2.129,7.990,1.970
0.349,2.137,7.983,1.950
0.350,2.144,7.977,1.934
0.351,2.153,8.046,1.910
0.352,2.161,8.037,1.899
0.353,2.169,8.028,1.884
0.354,2.177,8.020,1.868
0.355,2.185,8.012,1.852
0.356,2.193,8.005,1.837
0.357,2.201,7.997,1.821
0.358,2.208,7.991,1.805
0.359,2.216,7.984,1.789
0.360,2.224,7.978,1.774
0.361,2.232,7.972,1.758
0.362,2.240,7.966,1.742
0.363,2.248,7.961,1.727
0.364,2.256,7.956,1.711
0.365,2.264,7.951,1.695
0.366,2.271,7.946,1.679
0.367,2.279,7.942,1.664
0.368,2.287,7.938,1.648
0.369,2.295,7.934,1.632
0.370,2.303,7.930,1.617
0.371,2.311,7.926,1.601
0.372,2.318,7.923,1.585
0.373,2.326,7.920,1.570
0.374,2.334,7.917,1.554
0.375,2.342,7.914,1.538
0.376,2.350,7.911,1.522
0.377,2.357,7.833,1.515
0.378,2.365,7.834,1.494
0.379,2.372,7.835,1.478
0.380,2.380,7.836,1.463
0.381,2.388,7.837,1.447
0.382,2.396,7.838,1.431
0.383,2.403,7.838,1.416
0.384,2.411,7.839,1.400
0.385,2.419,7.840,1.384
0.386,2.427,7.841,1.368
0.387,2.435,7.841,1.353
0.388,2.443,7.842,1.337
0.389,2.450,7.768,1.329
0.390,2.457,7.772,1.309
0.391,2.465,7.776,1.293
0.392,2.473,7.779,1.277
0.393,2.480,7.783,1.262
0.394,2.488,7.786,1.246
0.395,2.496,7.790,1.230
0.396,2.503,7.718,1.222
0.397,2.511,7.724,1.202
0.398,2.518,7.730,1.186
0.399,2.526,7.736,1.171
0.400,2.534,7.742,1.155
0.401,2.542,7.747,1.139
0.402,2.549,7.678,1.131
0.403,2.556,7.686,1.111
0.404,2.564,7.694,1.095
0.405,2.572,7.702,1.079
0.406,2.579,7.709,1.064
0.407,2.587,7.641,1.056
0.408,2.594,7.651,1.035
0.409,2.602,7.661,1.020
0.410,2.609,7.670,1.004
0.411,2.617,7.604,0.996
0.412,2.624,7.616,0.976
0.413,2.632,7.627,0.960
0.414,2.639,7.638,0.944
0.415,2.647,7.573,0.936
0.416,2.654,7.587,0.916
0.417,2.662,7.600,0.900
0.418,2.669,7.612,0.885
0.419,2.676,7.548,0.877
0.420,2.684,7.563,0.856
0.421,2.691,7.577,0.841
0.422,2.698,7.515,0.833
0.423,2.706,7.531,0.812
0.424,2.713,7.547,0.797
0.425,2.721,7.487,0.789
0.426,2.728,7.504,0.768
0.427,2.735,7.521,0.753
0.428,2.743,7.462,0.745
0.429,2.750,7.480,0.724
0.430,2.757,7.498,0.709
0.431,2.765,7.440,0.701
0.432,2.772,7.460,0.680
0.433,2.779,7.404,0.673
0.434,2.786,7.425,0.652
0.435,2.793,7.371,0.644
0.436,2.800,7.394,0.624
0.437,2.808,7.416,0.608
0.438,2.815,7.362,0.600
0.439,2.822,7.385,0.580
0.440,2.829,7.333,0.572
0.441,2.836,7.358,0.552
0.442,2.843,7.307,0.544
0.443,2.851,7.333,0.523
0.444,2.858,7.358,0.508
0.445,2.865,7.306,0.500
0.446,2.872,7.332,0.479
0.447,2.879,7.282,0.472
0.448,2.886,7.235,0.459
0.449,2.893,7.264,0.439
0.450,2.900,7.218,0.431
0.451,2.907,7.248,0.410
0.452,2.914,7.202,0.402
0.453,2.921,7.233,0.382
0.454,2.928,7.188,0.374
0.455,2.936,7.220,0.354
0.456,2.942,7.175,0.346
0.457,2.949,7.133,0.333
0.458,2.956,7.167,0.313
0.459,2.963,7.125,0.305
0.460,2.970,7.160,0.285
0.461,2.977,7.118,0.277
0.462,2.984,7.078,0.264
0.463,2.991,7.115,0.244
0.464,2.998,7.075,0.236
0.465,3.004,7.038,0.223
0.466,3.011,7.077,0.203
0.467,3.018,7.039,0.195
0.468,3.025,7.003,0.182
0.469,3.032,7.043,0.162
0.470,3.038,7.007,0.154
0.471,3.045,6.973,0.142
0.472,3.052,7.015,0.121
0.473,3.059,6.980,0.113
0.474,3.066,6.947,0.101
0.475,3.072,6.915,0.088
